OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
187,340390305003,134,61,73,4,8,33,7,8,1,35,1,0,17,8,0,35,1,426,1,14.4,815207.140625,4162.50504990336
188,340170116004,68,13,55,5,3,5,0,0,0,7,0,0,0,6,0,6,1,329,0,4,140935.19921875,1588.09540227657
189,340390327003,84,13,71,8,5,0,0,0,0,12,0,0,1,0,0,5,7,631,2,2.1,1989953.98046875,6777.7499128095
190,340390323002,84,13,71,11,2,0,0,0,0,10,0,0,3,0,0,3,7,442,0,2.9,1381730.54296875,8433.47506251515
191,340390322004,121,22,99,17,5,0,0,0,0,21,0,0,1,0,0,6,15,533,1,4.1,641837.39453125,3320.42066059368
192,340170045003,188,21,167,15,2,0,4,0,0,10,0,0,9,2,0,6,4,746,2,2.8,292168.33203125,2245.93395655738
193,340170068002,182,26,156,15,8,1,0,2,0,10,0,0,13,3,0,6,4,839,0,3.1,259568.83203125,2284.17416243722
194,340230036002,187,90,97,6,17,48,5,11,3,70,0,0,16,4,0,36,34,832,0,10.8,687793.34765625,4159.02803321617
195,340230036001,198,90,108,12,16,22,11,24,5,58,0,0,29,3,0,54,4,923,2,9.8,5457872.828125,10518.1577089069
196,340230036003,220,119,101,14,26,54,13,10,2,76,1,0,32,10,0,53,24,849,3,14.1,895008.984375,4019.69622366622
197,340230038005,159,53,106,7,7,2,7,23,7,9,0,0,41,3,0,7,2,777,0,6.8,1018665.984375,4091.19675719176
198,340230037002,56,10,46,6,2,0,1,1,0,10,0,0,0,0,0,6,4,513,0,1.9,854918.4375,6492.46449089805
199,340230037003,84,47,37,1,27,12,3,3,1,41,0,0,6,0,0,39,2,392,0,12,747832.0625,3996.65013537848
200,340230038001,76,14,62,6,4,3,1,0,0,10,0,0,3,1,0,7,3,590,0,2.4,614276.15625,5969.08730179649
201,340230034012,46,30,16,3,8,11,5,1,2,28,0,0,2,0,0,19,9,359,0,8.4,953751.83203125,4418.92609555032
202,340230034011,40,13,27,3,7,0,2,1,0,12,0,0,1,0,0,10,2,456,3,2.9,1330372.23046875,6712.48290205587
203,340170104001,86,10,76,8,1,0,1,0,0,9,0,0,0,1,0,2,7,809,6,1.2,361405.9765625,2959.54382777782
204,340390338003,61,11,50,9,2,0,0,0,0,11,0,0,0,0,0,2,9,858,5,1.3,945222.421875,6377.13292750708
205,340390302002,78,11,67,8,3,0,0,0,0,4,0,0,6,1,0,2,2,741,2,1.5,246318.921875,2148.15763094196
206,340390318012,157,14,143,11,2,0,1,0,0,4,0,0,6,4,0,2,2,749,1,1.9,435205.5703125,2870.50791644891
207,340390319032,92,11,81,8,3,0,0,0,0,7,0,0,2,2,0,1,6,943,3,1.2,445263.859375,2865.02202210243
208,340390322001,106,13,93,7,4,0,2,0,0,5,0,0,7,1,0,2,3,432,1,3,250886.4296875,2568.52211504828
209,340390322002,85,18,67,13,5,0,0,0,0,16,0,0,2,0,0,6,10,348,1,5.2,168367.26953125,1871.72077599132
210,340390328003,112,13,99,10,2,1,0,0,0,7,0,0,5,1,0,2,5,581,2,2.2,896090.90234375,5644.91236859918
211,340390329011,54,10,44,9,1,0,0,0,0,10,0,0,0,0,0,3,7,428,0,2.3,543667.4765625,3739.21328147166
212,340130049003,197,25,172,20,5,0,0,0,0,17,0,0,7,1,0,5,12,800,1,3.1,335966.63671875,2330.78178200463
213,340230035002,69,41,28,6,3,2,13,16,1,10,29,0,0,2,0,34,5,472,3,8.7,876194.98046875,3662.07333979741
214,340170104002,96,14,82,10,4,0,0,0,0,13,0,0,1,0,0,6,7,729,6,1.9,333167.89453125,2776.3631430847
215,340170106004,129,51,78,10,0,0,18,23,0,3,39,0,0,9,0,37,5,999,0,5.1,193063.3046875,2168.98703801556
216,340170106002,84,12,72,8,2,2,0,0,0,7,0,0,4,1,0,4,3,549,0,2.2,196644.04296875,1836.67630128167
217,340130127002,115,15,100,10,5,0,0,0,0,14,0,0,1,0,0,9,5,513,1,2.9,249593.4765625,3165.14267634141
218,340130127001,139,12,127,10,2,0,0,0,0,9,1,0,1,1,0,2,8,492,0,2.4,588721.703125,3205.87017280135
219,340130049001,87,10,77,6,4,0,0,0,0,8,0,0,1,1,0,6,2,489,0,2,165989.77734375,1722.22941718796
220,340130050001,94,17,77,17,0,0,0,0,0,4,0,0,11,2,0,1,3,688,0,2.5,566859.1015625,3481.73221690574
221,340130051001,45,10,35,10,0,0,0,0,0,7,2,0,1,0,0,2,7,325,0,3.1,225117.66796875,2423.22856618067
222,340230091001,78,11,67,4,5,1,1,0,0,4,0,0,6,1,0,4,0,771,2,1.4,5127744.578125,17961.1034491499
223,340230091002,106,59,47,11,17,14,5,7,5,50,0,0,9,0,0,33,17,595,0,9.9,1762512.3359375,6633.87023336671
224,340130052001,71,14,57,10,3,1,0,0,0,10,0,0,3,1,0,6,4,289,1,4.9,235051.375,1977.90921734668
225,340130053001,100,20,80,19,1,0,0,0,0,9,0,0,7,4,0,2,7,376,0,5.3,193425.296875,1939.92459082658
226,340130053002,166,27,139,22,5,0,0,0,0,19,0,0,6,2,0,8,11,645,0,4.2,364412.9296875,2624.7716543357
227,340130054001,138,12,126,9,2,0,0,0,1,1,0,0,5,6,0,0,1,813,0,1.5,268266.4765625,2859.34235033988
228,340170054003,120,17,103,14,3,0,0,0,0,10,0,0,3,4,0,3,7,412,1,4.1,129692.05859375,1504.84364553359
229,340130044002,94,11,83,8,3,0,0,0,0,6,0,0,3,2,0,5,1,368,2,3,250793.51953125,3101.43734813935
230,340130045001,95,11,84,7,4,0,0,0,0,8,1,0,1,1,0,5,4,399,1,2.8,315162.85546875,2537.06597483661
231,340130045003,97,12,85,10,2,0,0,0,0,4,3,0,1,4,0,3,4,333,0,3.6,169079.1953125,2181.15289443744
232,340130045002,71,10,61,6,4,0,0,0,0,7,0,0,0,3,0,3,4,252,0,4,147450.921875,1946.35486505941
233,340130046001,126,11,115,9,2,0,0,0,0,5,0,0,4,1,1,1,4,583,1,1.9,180489.96875,1705.64947961354
234,340130046003,110,13,97,12,1,0,0,0,0,9,2,0,2,0,0,1,10,520,0,2.5,345194.921875,2735.20769644353
235,340130047002,83,10,73,9,1,0,0,0,0,6,0,0,4,0,0,3,3,454,0,2.2,229474.56640625,2227.90114363445
236,340130047001,74,12,62,11,1,0,0,0,0,10,0,0,2,0,0,3,7,487,0,2.5,232926.109375,2063.64838154487
237,340130047005,78,10,68,9,1,0,0,0,0,8,0,0,1,1,0,3,5,350,0,2.9,190232.28125,1898.01064613626
238,340130124003,83,10,73,6,3,0,1,0,0,9,0,0,1,0,0,4,5,346,0,2.9,210212.10546875,1882.2066640652
